"William Myers","Waddell and Reed","LPL Financial","$57","10-17-2014"
"James Stambaugh","Stifel Nicolaus & Co.","Morgan Stanley Wealth Management","$180","10-17-2014"
"Deborah Sullivan, Christine Saitta","RBC Wealth Management","Morgan Stanley Wealth Management","$213","10-14-2014"
"Anthony Valencia","Securities America","JPMorgan Chase & Co.","$60","10-14-2014"
"Richard E. Lloyd Jr., Richard E Lloyd III, Mary Cofran","HighPoint Planning Partners","VSR Financial Services","$57","10-14-2014"
"Terry Sawchuk, Bill Langenstein","NFP Advisor Services Group","SII Investments","$155","10-14-2014"
"Edward Klug","Investacorp","SII Investments","$50","10-14-2014"
"Robert Murphy","RBC Wealth Management","Morgan Stanley Wealth Management","$200","10-06-2014"
"Timothy Rodgers, Keith Osborne","Dynasty Financial Partners","Wells Fargo","$400","10-06-2014"
"Robert Bennett","Bank of America Merrill Lynch","UBS Financial Services","$108","10-03-2014"
"Wade Wolfe","Bank of America Merrill Lynch","Morgan Stanley Wealth Management","$306","10-03-2014"
"Steven Bullard","Bank of America Merrill Lynch","Morgan Stanley Wealth Management","$110","10-03-2014"
"Suzanne Austin","Bank of America Merrill Lynch","JPMorgan Chase & Co.","$150","10-03-2014"
"Mary Ellen Backer","Bank of America Merrill Lynch","Hilliard Lyons","$172","10-03-2014"
"Tad Singer","Smith Hayes Cos.","Carson Wealth Management Group","$0","10-03-2014"
"Steven Wilbur","Smith Hayes Cos.","Carson Wealth Management Group","$0","10-03-2014"
"Phil McBride","Allen Capital Group","Carson Wealth Management Group","$0","10-03-2014"
"Richard Wilson","Morgan Stanley Wealth Management","UBS Financial Services","$110","10-01-2014"
"Joseph Stein, Jr., Jeffrey Stein","Morgan Stanley Wealth Management","Neuberger Berman","$320","10-01-2014"
"Carolyn Sanderson","Morgan Stanley Wealth Management","J.P. Morgan Securities LLC","$100","10-01-2014"
"Richard Potashner","Morgan Stanley Wealth Management","Bank of America Merrill Lynch","$130","10-01-2014"
"Greg DeLong, Chris DeLong","Morgan Stanley Wealth Management","Edward Jones","$200","09-30-2014"
"Eric de Goldsmith-Rothschild ","Raymond James","UBS Financial Services","$125","09-30-2014"
"Nick Mueller, Darren Amerkanian","RBC Wealth Management","Wells Fargo Advisors","$80","09-30-2014"
"Jarrod Serrato","Golden State Wealth Management","Finance 500","$50","09-30-2014"
"Thomas A. Parks","Annex Wealth Management","MML Investors Services","$0","09-30-2014"
"Philip Lazzari, Mark Stevens, Eric Watson, Eric Buckner","Snowden Lane Partners","UBS Financial Services","$400","09-29-2014"
"Jeffrey Hill, Steve Brill, Debra Targett, Mary McLaughlin, Jessica Hill","Benjamin F. Edwards & Co.","Wells Fargo","$100","09-29-2014"
"Thomas A. Braun","LPL Financial","Fifth Third Securities","$1,200","09-22-2014"
"William Peragine, John Biondo","Wells Fargo Advisors","Morgan Stanley Wealth Management","$830","09-22-2014"
"Lee Dubinsky","Wells Fargo Advisors","UBS Financial Services","$140","09-22-2014"
"William 'Bill' Boatwright, Craig Diamond","Wells Fargo Advisors","UBS Financial Services","$259","09-22-2014"
"Jon Miller, Doug Kunzman","Wells Fargo Advisors","UBS Financial Services","$151","09-22-2014"
"Charles "Chip" Pisoni","RBC Wealth Management","Bank of America Merrill Lynch","$250","09-16-2014"
"Tracy A. Chan","Morgan Stanley Wealth Management","Wells Fargo Advisors","$50","09-16-2014"
"Bruce Rathkamp","Voya Financial Advisors","Cetera","$139","09-16-2014"
"Joseph P. Montana","CCR Wealth Management","Alliance Benefit Group","$0","09-16-2014"
"Thomas A. Martin","GLOBALT Investments","GenSpring Family Offices","$0","09-16-2014"
"Jesse Bengtson","RBC Wealth Management","Bank of America Merrill Lynch","$230","09-11-2014"
"David Starker","J.P. Morgan Securities LLC","Credit Suisse Wealth Services","$0","09-11-2014"
"Matthew Kutcher, Bryan DeFrances","J.P. Morgan Securities LLC","Credit Suisse Wealth Services","$0","09-11-2014"
"Roy Apple, Anthony Rizzo, Jeremy Schneider, Kevin Gai ","J.P. Morgan Securities LLC","Deutsche Bank","$0","09-11-2014"
"John Delehanty","J.P. Morgan Securities LLC","Credit Suisse Wealth Services","$0","09-11-2014"
"Evan Schottenstein ","J.P. Morgan Securities LLC","Morgan Stanley Wealth Management","$0","09-11-2014"
"Antonio ","J.P. Morgan Securities LLC","Wells Fargo Advisors","$0","09-11-2014"
"Shawn Stanley","J.P. Morgan Securities LLC","Neuberger Berman","$0","09-11-2014"
"Bruce Ledoux","J.P. Morgan Securities LLC","Morgan Stanley Wealth Management","$0","09-11-2014"
"Samuel A. Annitto","Benjamin F. Edwards & Co.","Wells Fargo Advisors","$0","09-11-2014"
"Jason G. Clouse","Benjamin F. Edwards & Co.","Wells Fargo Advisors","$0","09-11-2014"
"Eric R. Bench","Benjamin F. Edwards & Co.","Wells Fargo Advisors","$0","09-11-2014"
"Joshua Willard","Benjamin F. Edwards & Co.","Wells Fargo Advisors","$0","09-11-2014"
"John Weir","Benjamin F. Edwards & Co.","Wells Fargo Advisors","$0","09-11-2014"
"Hunter Graham","Benjamin F. Edwards & Co.","Wells Fargo Advisors","$0","09-11-2014"
"Katiebeth Worrell","Benjamin F. Edwards & Co.","Wells Fargo Advisors","$0","09-11-2014"
"Bruce E. Melton","Benjamin F. Edwards & Co.","Wells Fargo Advisors","$0","09-11-2014"
"Ernie Wright, Margaret (Kate) Wright","Benjamin F. Edwards & Co.","Wells Fargo Advisors","$0","09-11-2014"
"Peter Wolk","Securities Service Network","LPL Financial","$50","09-09-2014"
"Kate Lunn, Elise Kausen","Wells Fargo Advisors","UBS Financial Services","$141","09-09-2014"
"Bruce Lin, Michael Hartmeyer, Patrick Chan ","Wells Fargo Advisors","Bank of America Merrill Lynch","$142","09-09-2014"
"Robert Rotstan, James Vale","Wells Fargo Advisors","UBS Financial Services","$95","09-09-2014"
"Jose Moreno, Michael Dye, Oliver Cervantes","Wells Fargo Advisors","UBS Financial Services","$479","09-09-2014"
"Teresa Harmon","Wells Fargo Advisors","UBS Financial Services","$244","09-09-2014"
"Sandra J. Hudgins","Ameriprise Financial","Bank of America Merrill Lynch","$100","09-09-2014"
"Ronald Camisasca","Ameriprise Financial","Morgan Stanley Wealth Management","$96","09-09-2014"
"Kevin P. Barnes","Ameriprise Financial","ProEquities","$148","09-09-2014"
"Steven Jacobson","Ameriprise Financial","Raymond James","$124","09-09-2014"
"John E. Ledford","Ameriprise Financial","Commonwealth Financial Network","$138","09-09-2014"
"Erik Simmons","Calton & Associates","U.S. Bancorp Investments","$50","09-09-2014"
"Sean Burr, John Brant","J.W. Cole Financial","J.P. Turner & Company","$100","09-09-2014"
"Michael A. Coraggio","Janney Montgomery Scott","BB&T Securities","$115","09-04-2014"
"Christopher J. Coburn","Robert W. Baird & Co.","RBC Wealth Management","$150","09-04-2014"
"James W. McGuire","Robert W. Baird & Co.","Wells Fargo Advisors","$0","09-04-2014"
"Kaylyn A. Maher","UBS Financial Services","Bank of America Merrill Lynch","$120","09-04-2014"
"William B. Wolf, Ethan Collins","Hightower Advisors","Bank of America Merrill Lynch","$440","09-02-2014"
"David S. Mowatt","Independent Financial Group","Girard Securities","$150","09-02-2014"
"Kenneth Compton, Susan Buchanon, Carl Salvato, Aileen Aqui","Raymond James","Wells Fargo Advisors","$170","08-29-2014"
"Michael P. Reese","Janney Montgomery Scott","Stifel Nicolaus & Co.","$0","08-29-2014"
"Adam R. Rosenzweig","RBC Wealth Management","Morgan Stanley Wealth Management","$100","08-29-2014"
"Robert A. Clayson","Raymond James","Wells Fargo Advisors","$115","08-29-2014"
"Travis Barr, Marco Cisneros","Wells Fargo Advisors","Bank of America Merrill Lynch","$227","08-27-2014"
"Anthony Untersee, Charles Proutey","Investacorp","SII Investments","$50","08-25-2014"
"Ian James","Investacorp","Summit Brokerage Services","$52","08-25-2014"
"Robert J. Bowman","Snowden Lane Partners","Bank of America Merrill Lynch","$0","08-25-2014"
